,course,Link,Introduction,Address,Contact,Duration,Fee,uni_name,Fac_link
11,BACHELOR OF ARTS SOUTHEAST ASIAN STUDIES,https://fass.um.edu.my/bachelor-of-arts-southeast-asian-studies,"The programme intends to provide a space for the development of teaching and learning, emphasizing on the studies of the region including its politics, economy, culture and security.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,8000,Universiti Malaya (UM),https://fass.um.edu.my/
12,BACHELOR OF BIOMEDICAL ENGINEERING,https://www.umcced.edu.my/programme/satu/bbe,"Biomedical Engineering is a multidisciplinary programme, which aims to provide you with both the understanding of biology and medical theories, and with highly specialized technical training in such fields as electrical, physics, material and mechanical engineering.
It involves the application of engineering principles and design concepts to solve problems in medicine and biology - a convergence of life sciences with engineering. Biomedical engineers are key players in the development, design, and continuing refinement of devices such as joint replacement prosthesis, microsensors, imaging and pattern recognition, as well as advanced instruments for use in such domains as minimally invasive surgery and movement disorders.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5200 / 5201 / 5202<br/>Fax: +603-7955 5781<br/>Email: engine@um.edu.my,5,8800,Universiti Malaya (UM),https://engine.um.edu.my/
13,BACHELOR OF BIOMEDICAL SCIENCE,https://medicine.um.edu.my/bachelor-of-biomedical-science-bbiomedsc-hons,"The Biomedical Science Programme spans a minimum period of 4 years. Initially, students are provided with a broad based knowledge of basic medical sciences, allowing students the chance to acquire basic medical laboratory skills. Subsequently students proceed to the specific study of medical laboratory disciplines of their own choice: Anatomic Pathology, Haematology, Clinical Chemistry, Medical Microbiology, Parasitology, Physiology and Pharmacology.
Students will learn the principles underlying the various analytical methods and investigatory procedures used in laboratory medicine, and obtain practical training to consolidate theoretical instruction. In addition, instruction is provided on research methodologies as students will be carrying out research projects of their own design during final year.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7949 2050<br/>Fax: +603-7954 0533<br/>Email: fomadmin@um.edu.my,4,9700,Universiti Malaya (UM),https://medicine.um.edu.my/ug
14,BACHELOR OF BUILDING SURVEYING,https://fbe.um.edu.my/bachelor-of-building-surveying,"The programme was developed in association with the Royal Institution of Surveyors Malaysia (RISM). The curriculum structure is accepted by the relevant professional bodies in United Kingdom i.e. The Royal Institution of Chartered Surveyors (RICS), UK. The minimum period of study for the Bachelor of Building Surveying is 4-31/2 years, comprising 8 semesters (including 1 special semester). The full-time semesters consists of 14 weeks. This course is pursued on a full time basis only. The successful completion of the programme leads candidate to achieve the award of a degree in the field of building surveying. In the Malaysian context, a professional Building Surveyor is a qualified person, by examination and experience, and a member of the RISM.The main roles and responsibilities of a Building Surveyor in Malaysia, as prescribed by the RISM cover the following areas; Building Control & Space Planning, Building Performance & Risk Assessment and Building Maintenance & Refurbishment.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5395<br/>Fax: +603-7967 5713<br/>Email: fab@um.edu.my,4,12600,Universiti Malaya (UM),https://fbe.um.edu.my/
15,BACHELOR OF BUSINESS ADMINISTRATION #,https://fpe.um.edu.my/bachelor-of-business-administration-bba,"Business education in the University of Malaya (UM) dates back to 1966 when the Faculty of Economics and Administration first offered business and accounting courses. In line with the increasing demand for accounting and business programmes, the Faculty of Business and Accountancy (FBA) was subsequently established in 1997 to focus on developing these programmes. FBA strives to meet the challenges of preparing students to play a vital role in industry and nation building. FBA seeks to remain at the forefront of business and accounting education and continues to enjoy the reputation as an excellent knowledge-based institution.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3800<br/>Fax: +603-7967 3980<br/>Email: umfba@um.edu.my,4,8200,Universiti Malaya (UM),https://fpe.um.edu.my/
16,BACHELOR OF CHEMICAL ENGINEERING,https://engine.um.edu.my/bachelor-of-chemical-engineering,"Working together with people from all walks of life, chemical engineers help to keep the world going and better. Like all engineers, we design and build equipments, then make them work safely and economically. These are mostly business-to-business activities, often outside public eyes. We specialize on activities that involve chemical and biochemical changes on a large scale. For example, we purify crude oil into petrol, kerosene and diesel that transport everyone around. We too make plastics and their biodegradable versions.<br/>Others such as fertilizers, drinking water, cooking oils, packaged foods, medicines and vaccines all have to be produced in large amounts, and here chemical engineers come in. The chips that run our handphones are designed by electronic engineers, but chemical engineers make them in large quantities. Increasingly, chemical engineers deal with living things such as bacteria and plants to produce renewable products. As large-scale chemical processing involves potential adverse social and environmental impact, chemical engineers also protect people and Earth by clever designs and responsible operations.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5200 / 5201 / 5202<br/>Fax: +603-7955 5781<br/>Email: engine@um.edu.my,5,9500,Universiti Malaya (UM),https://engine.um.edu.my/
17,BACHELOR OF CHINESE LANGUAGE AND LINGUISTICS,https://fll.um.edu.my/bachelor-of-chinese-language-and-linguistics,Students are awarded the Bachelor of Chinese Language and Linguistics / Bachelor of Tamil Language and Linguistics upon completion of 124 credits of studies. ,"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3177<br/>Fax: +603-7957 9707<br/>Email: dekan_fbl@um.edu.my,4,7900,Universiti Malaya (UM),https://fll.um.edu.my/
18,BACHELOR OF CIVIL ENGINEERING,https://engine.um.edu.my/bachelor-of-civil-engineering,"Bachelor of Civil Engineering programme provides a solid foundation of knowledge so that students can use the basic principles in Civil Engineering practice and problems. The subject involves the design and construction of projects, financing them, managing the construction process and maintenance. Civil Engineering helps to solve problems, design, build and maintain our living and working spaces.<br/>It involves finding innovative solutions using a mixture of creativity, application of knowledge for the planning, design and execution of infrastructure works to enhance the quality of life. Civil engineers have played a significant role in most of the famous landmarks in the world. With the growing population straining today’s infrastructures, civil engineers are required to improve and build the built environment now and into the future.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5200 / 5201 / 5202<br/>Fax: +603-7955 5781<br/>Email: engine@um.edu.my,5,9400,Universiti Malaya (UM),https://engine.um.edu.my/
19,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),https://fsktm.um.edu.my/bachelor-of-computer-science-artificial-intelligence,"This programme equips students with the knowledge and skills to design and develop computer systems that emulate and exhibit human intelligence. Students will learn the theoretical and practical aspects of Robotics, Cognitive Science, Image Processing, Natural Language Processing, Machine Learning, Artificial Neural Network, Fuzzy Logic, Expert Systems and Logic Programming. Students will apply their skills and knowledge through the development of real world applications in their final year projects.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6300<br/>Fax: +603-7957 9249<br/>Email: dekan_fsktm@um.edu.my,4,9800,Universiti Malaya (UM),https://fsktm.um.edu.my/
20,BACHELOR OF COMPUTER SCIENCE (COMPUTER SYSTEM AND NETWORK),https://fsktm.um.edu.my/bachelor-of-computer-science-computer-system-and-network,The purpose of this programme is to produce graduates who understand and able to apply the knowledge in networking and the theory of computer systems. The graduates will have the ability to apply critical thinking skills and advanced scientific techniques in solving computer-based problems in line with the rapidly changing computer systems and technology.,"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6300<br/>Fax: +603-7957 9249<br/>Email: dekan_fsktm@um.edu.my,4,9800,Universiti Malaya (UM),https://fsktm.um.edu.my/
21,BACHELOR OF COMPUTER SCIENCE (DATA SCIENCE),https://fsktm.um.edu.my/bachelor-of-computer-science-data-science,"This programme aims to produce excellent graduates who are able to apply the knowledge gained in the field of Computer Science and Data Science and apply scientific techniques to solve computer-based problems, as well as having entrepreneurship mindset.<br/>
The graduates will be able to conduct data-driven investigations by accessing, assessing and analyzing data sets to gain useful information, to be competent in using suitable tools and technologies in building data model capable of prediction and be able to solve problems that involve disparate datasets from any domain and develop data products.<br/>
For this program, UM has signed the MoA with SAS to develop Data Scientists in Malaysia. Students completing specific elective courses offered by this program will receive a Joint Professional Certificate from SAS.<br/>
SAS also has endorsed the program in Data Analytics by providing tools and educational material support for learning and research purposes.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6300<br/>Fax: +603-7957 9249<br/>Email: dekan_fsktm@um.edu.my,4,20100,Universiti Malaya (UM),https://fsktm.um.edu.my/
22,BACHELOR OF COMPUTER SCIENCE (INFORMATION SYSTEMS),https://fsktm.um.edu.my/bachelor-of-computer-science-information-systems,"This programme aims to equip graduates with the ability to apply the concepts and principles of Information Systems to support the design, development and management of Information Systems. The graduates will be able to design and develop Information Systems to suit the organizational needs using highest quality technology-based services, with high ethical values in the context of professional practice of computing.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6300<br/>Fax: +603-7957 9249<br/>Email: dekan_fsktm@um.edu.my,4,9800,Universiti Malaya (UM),https://fsktm.um.edu.my/
23,BACHELOR OF COMPUTER SCIENCE (MULTIMEDIA,https://fsktm.um.edu.my/bachelor-of-information-technology-multimedia,"This programme aims to produce graduates with knowledge and skills in the field of information technology and multimedia computing. The graduates will be able to apply the techniques and algorithms to solve information technology problem, and to utilize suitable software to process the elements of multimedia to achieve the goals of multimedia system developments.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6300<br/>Fax: +603-7957 9249<br/>Email: dekan_fsktm@um.edu.my,4,11500,Universiti Malaya (UM),https://fsktm.um.edu.my/
24,BACHELOR OF COMPUTER SCIENCE (SOFTWARE ENGINEERING),https://fsktm.um.edu.my/bachelor-of-computer-science-software-engineering,"This programme offers a comprehensive look into the world of software engineering by providing the students with not only the theoretical and technical knowledge but the skills needed in various other related aspects of software engineering. The programme emphasizes a strong underlying of Software Engineering principles and concepts through object-oriented modeling, software design and architecture, human-computer interaction and software quality.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6300<br/>Fax: +603-7957 9249<br/>Email: dekan_fsktm@um.edu.my,4,9800,Universiti Malaya (UM),https://fsktm.um.edu.my/
25,BACHELOR OF COUNSELLING,https://education.um.edu.my/bachelor-of-counselling,"Commenced in 1997 with an intake of 75 students, the Bachelor of Counselling programme provides education and professional training for those who aspire to be counselors in educational institutions, government departments or private sectors. The Bachelor of Counselling programme from UM is recognized by the Civil Service Department (Jabatan Perkhidmatan Awam) as equivalent to other Bachelor programmes in other local universities for suitable employment in the civil service.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5000 / 5133<br/>Fax: +603-7956 5506<br/>Email : dekan_pendidikan@um.edu.my,4,8500,Universiti Malaya (UM),https://education.um.edu.my/
26,BACHELOR OF DANCE,https://creativearts.um.edu.my/bachelor-of-dance,"This programme aims to produce graduates who are proficient and skilled in the professional practice and academic study of dance. Students study western and non-western, dance technique, choreography, dance notation and dance education with particular emphasis on Malaysian dance, thus, offering a well-rounded multi-cultural and cross cultural dance education at tertiary level. Dance faculty members include pioneers and experts in the field of ethnochoreology, modern and traditional choreography and dance education.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3454<br/>Fax: +603-7967 3576<br/>Email: creativearts@um.edu.my,4,8700,Universiti Malaya (UM),https://creativearts.um.edu.my/
27,BACHELOR OF DENTAL SURGERY,https://dentistry.um.edu.my/undergraduate-programmes,"This is currently a five-year programme where the first two years is dedicated to pre-clinical dental science and basic medical science teaching with exposure to clinical dentistry as early as in the first year. Basic Medical Science teaching is conducted in collaboration with the Faculty of Medicine, University Malaya. In the subsequent three clinical years, candidates will have the opportunity to practice their clinical skills in dentistry as well as related medical practice.<br/>At the end of the programme, the Faculty of Dentistry is expected to produce a general dentist practice who is knowledgeable and highly competent in the clinical and technical aspects, understanding social responsibility and can work effectively to contribute to the country`s health service delivery system, and adheres to the principles of professional ethics and conduct of high value.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603 -7967 4800<br/>Fax: +603 -7967 4809<br/>Email: dekan_dental@um.edu.my,5,15800,Universiti Malaya (UM),https://dentistry.um.edu.my/
28,BACHELOR OF DRAMA,https://creativearts.um.edu.my/bachelor-of-drama,"Bachelor of Drama programme provides a comprehensive grounding in the theories, technique, aesthetics, management, and technologies of drama and theatre. This programme offer flexibility for students to choose area of specialisation. Either professional or academic-based as a career.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3454<br/>Fax: +603-7967 3576<br/>Email: creativearts@um.edu.my,4,8700,Universiti Malaya (UM),https://creativearts.um.edu.my/
29,BACHELOR OF EARLY CHILDHOOD EDUCATION,https://education.um.edu.my/bachelor-of-early-childhood-education,"This programme was first established in 1997 with the intake of 83 students. It is the first programme of its kind in Malaysia that aims to provide education and professional training for those who are interested to be educators of Early Childhood Education, or for those who are aspiring to obtain professional training in the Bachelor level. Bachelor of Early Childhood Education is recognized by the Civil Service Department (Jabatan Perkhidmatan Awam) as equivalent to other Bachelor programmes of other local universities for suitable employment in the civil service.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5000 / 5133<br/>Fax: +603-7956 5506<br/>Email : dekan_pendidikan@um.edu.my,4,7800,Universiti Malaya (UM),https://education.um.edu.my/
30,BACHELOR OF EAST ASIAN STUDIES,https://fass.um.edu.my/bachelor-of-east-asian-studies,"The programme offers an integration of China Studies, Japan Studies and Korea Studies. Besides paying attention to the fields of economy, management and contemporary international relations, the teaching focuses on the languages of the three countries.
The programme also offers courses on the East Asia Province to enrich students with knowledge and a deep understanding about the province.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7700,Universiti Malaya (UM),https://fass.um.edu.my/
31,BACHELOR OF ECONOMICS,https://fpe.um.edu.my/bachelor-of-economics,"The Bachelor of Economics programme is designed to provide solid grounding in theory and economic knowledge and improve the critical and analytical skills of students. The core and elective courses are shaped to produce graduates with broad based as well as specialized knowledge. Since 2015, the newly introduced specialization system has provided students the option to specialize in one of four (4) areas, namely;<br/>
• Economics <br/>
• Administrative Studies and Politics<br/>
• Development Studies <br/>
• Applied Statistic","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3800<br/>Fax: +603-7967 3980<br/>Email: umfba@um.edu.my,4,8400,Universiti Malaya (UM),https://fpe.um.edu.my/
32,BACHELOR OF EDUCATION TEACHING ENGLISH AS A SECOND LANGUAGE,https://education.um.edu.my/bachelor-of-education-teaching-of-english-as-a-second-language,"The Bachelor of Education programme (Teaching of English as a Second Language (TESL) began in 1989. The aim of the programme is to provide academic preparation and professional training for English Secondary School teachers. The programme integrates the English language skills and English Literature with the professional components, which stress on knowledge in education and classroom teaching practices.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5000 / 5133<br/>Fax: +603-7956 5506<br/>Email : dekan_pendidikan@um.edu.my,4,7700,Universiti Malaya (UM),https://education.um.edu.my/
33,BACHELOR OF ELECTRICAL ENGINEERING,https://engine.um.edu.my/bachelor-of-electrical-engineering,"Electrical engineering generally deals with the study and application of electricity, electronics, and electromagnetism. It covers a wide range of subfields including electronics, digital computers, power engineering, telecommunications, control systems, and signal processing. Electrical engineers give the world modern virtual reality and spanned power distribution networks across vast rural areas in developing countries.<br/>Bachelor of Electrical Engineering exposes students to the theory and applications of electricity, electronics, information and signal processing. The program is designed around a set of core courses that provide a classical electrical engineering foundation, and a number of elective courses that allow students to specialize in areas of interest and emphasis is placed on the application of the engineering knowledge.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5200 / 5201 / 5202<br/>Fax: +603-7955 5781<br/>Email: engine@um.edu.my,5,9200,Universiti Malaya (UM),https://engine.um.edu.my/
34,BACHELOR OF ENGLISH LANGUAGE AND LINGUISTICS,https://fll.um.edu.my/bachelor-of-english-language-and-linguistics,"Students are awarded the Bachelor of English Language and Linguistics, upon completion of a total of 127 credits of study. ","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3177<br/>Fax: +603-7957 9707<br/>Email: dekan_fbl@um.edu.my,4,8100,Universiti Malaya (UM),https://fll.um.edu.my/
35,BACHELOR OF ENVIRONMENTAL STUDIES,https://fass.um.edu.my/bachelor-of-environmental-studies,"This programme will hopefully produce graduates who will find the middle ground for the tug-of-war between development and the environment. Covering interdisciplinary subjects ranging from biology, geology, policy studies and law, geography, religion, civil and chemical engineering, chemistry, economics, history, and sociology, students will face environmental studies as a whole, enabling them to have an analytical and functional perspective on the environmental issues facing our world today.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7700,Universiti Malaya (UM),https://fass.um.edu.my/
36,BACHELOR OF FINANCE #,https://fpe.um.edu.my/bachelor-of-finance-bfin,"The Bachelor of Finance is a 3 ½ year programme with the objective to produce graduates with thorough knowledge and technical abilities in finance to meet with the increase in the market demand for finance graduates. The Bachelor of Finance programme allows students to embark on careers in fields of finance such as risk management, funds management, banking, investment analysis and financial analysis.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3800<br/>Fax: +603-7967 3980<br/>Email: umfba@um.edu.my,4,13900,Universiti Malaya (UM),https://fpe.um.edu.my/
37,BACHELOR OF FRENCH LANGUAGE AND LINGUISTICS,https://fll.um.edu.my/bachelor-of-french-language-and-linguistics,Students are awarded the Bachelor of Japanese / German / Italian / French / Spanish Language and Linguistics upon completion of 125 credits of studies. ,"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3177<br/>Fax: +603-7957 9707<br/>Email: dekan_fbl@um.edu.my,4,7900,Universiti Malaya (UM),https://fll.um.edu.my/
38,BACHELOR OF GEOGRAPHY,https://fass.um.edu.my/bachelor-of-geography,"The programme offered reflects the multidisciplinary nature of Geography. Students have the opportunity to study their subject matter in a number of different areas including: Biogeography, Cultural and Historical Geography, Economic Geography, Environment and Resource Management, Geographic Information Systems, Remote Sensing, Transportation Geography, Physical Geography, Social Geography, and Urban Geography.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,8000,Universiti Malaya (UM),https://fass.um.edu.my/
39,BACHELOR OF GERMAN LANGUAGE AND LINGUISTICS,https://fll.um.edu.my/bachelor-of-german-language-and-linguistics,Students are awarded the Bachelor of Japanese / German / Italian / French / Spanish Language and Linguistics upon completion of 125 credits of studies. ,"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3177<br/>Fax: +603-7957 9707<br/>Email: dekan_fbl@um.edu.my,4,7900,Universiti Malaya (UM),https://fll.um.edu.my/
40,BACHELOR OF ISLAMIC EDUCATION (ISLAMIC STUDIES) ,https://apium.um.edu.my/bachelor-of-islamic-education-islamic-studies,"This program aims to produce graduates who practice the knowledge, methods and moral values ??of a teacher individually or in groups in building critical and creative thinking skills to fulfill their responsibilities to professional and community teaching.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6000<br/>Fax: +603-7956 0705<br/>Email: aka_islam@um.edu.my,4,10000,Universiti Malaya (UM),https://apium.um.edu.my/
41,BACHELOR OF ISLAMIC EDUCATION (QURANIC STUDIES),https://apium.um.edu.my/bachelor-of-islamic-education-quranic-studies,"This program aims to produce graduates who practice the knowledge, methods and moral values ??of a teacher individually or in groups in building critical and creative thinking skills to fulfill their responsibilities to professional and community teaching.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6000<br/>Fax: +603-7956 0705<br/>Email: aka_islam@um.edu.my,4,10000,Universiti Malaya (UM),https://apium.um.edu.my/
