course,Link,Introduction,Fee,Duration,Address,Contact,uni_name
Chemical Engineering- Bachelor (Hons),http://www.ukm.my/studyukm/chemical-engineering-bachelors-hons/,The Chemical Engineering program offers two Bachelor of Engineering specialization in Chemical Engineering and Biochemical Engineering since the Department was established in 1984 when the Faculty was established at Universiti Kebangsaan Malaysia.,63100,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Chemical Technology - Bachelor (Hons),http://www.ukm.my/studyukm/chemical-technology-bachelor-of-science-hons/,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Chemistry - Bachelor (Hons),http://www.ukm.my/studyukm/chemistry-bachelor-of-science-hons/,"Chemistry starts with the study of matter and the changes or reactions that occur on that matter. The reactions can produce a variety of simple as well as complicated products. Atoms form molecules and eventually molecules form compounds, bodies and materials, whether living or non-living. The nature of atoms affects the formation and properties of matter that may be in the form of compounds, minerals and rocks, cells, DNA, composites, polymers, pesticides and so on. The development of computer and technology allow the structure of a molecule and materials to be designed and simulated by its nature or character. In other words, the material can be designed according to the requirements of the user or applications. The chemistry has been cross-border areas because almost all areas of basic sciences such as biology, geology, agriculture, physics, materials science, manufacturing, chemical engineering and require chemistry knowledge. The role of the chemist in the new millennium is more dynamic and needed in various fields and in more multidisciplinary careers. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Civil Engineering- Bachelor (Hons),http://www.ukm.my/studyukm/chemical-engineering-bachelors-hons/,The Chemical Engineering program offers two Bachelor of Engineering specialization in Chemical Engineering and Biochemical Engineering since the Department was established in 1984 when the Faculty was established at Universiti Kebangsaan Malaysia.,63100,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Computer Science - Bachelor (Hons),http://www.ukm.my/studyukm/computer-science-bachelors-hons/,"Computer science is the scientific and practical approach to computation and its applications. Computer science is a fast-moving field that brings together many disciplines, including mathematics, programming, engineering, the natural sciences and linguistics. We offer a flexible programme with strong fundamental of computer science that provides students the desired skills to solve problems and to create future technology as a computer scientist. The programme is divided into four tracks: Software Technology, Artificial Intelligence, Network and High Performance Computing; which the students will be able to choose in the second year. Apart from the 12-weeks industrial training in the third year, the programme also benefited from hands-on training session conducted by our industry partner such as IBM, CISCO, INFOSys and Prestariang.",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Da'wah and Leadership Studies - Bachelor (Hons),http://www.ukm.my/studyukm/dawah-and-leadership-studies-bachelor-of-islamic-studies-hons/,The programme aims to produce graduates that applying Islamic values in an ever-evolving environment and diverse at the national or international levels.,37800,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Dentistry - Degree in Doctor,http://www.ukm.my/studyukm/dentistry-degree-in-doctor/,"UKM’s DDS (Doctor of Dental Surgery) program is a five-year program divided into two phases where students will learn theoretical, practical and clinical elements. ",400000,5,"Universiti Kebangsaan Malaysia, Jalan Raja Muda Abdul Aziz, 50300 Kuala Lumpur, Federal Territory of Kuala Lumpur","https://www.ukm.my/FPerg/
03-9289 7741",Universiti Kebangsaan Malaysia (UKM)
Development Science - Bachelor (Hons),http://www.ukm.my/studyukm/developmental-science-bachelor-of-social-sciences-hons/,"The Development Science Program has been consolidated under the FSSK to digest development issues through studies that include community and national development through restructuring of rural and urban sectors, economic development and resource management and public and private sector institutions, regional development and planning, machinery development and sociopolitical institutions and the administration and formation of public policies that protect the interests of the country and the people. The Development Science Program was evaluated by Professor Dr. Abdul Ghani Salleh from Universiti Sains Malaysia. Apart from offering study programs, this program also uses the available financial resources to develop research areas that are the backbone of the academic excellence of program members. The level of development and achievement of the program can be seen based on the list of publications and research conducted from time to time by program members. ",37800,3,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Diagnostic Imaging and Radiotherapy - Bachelor (Hons),http://www.ukm.my/studyukm/diagnostic-imaging-and-radiotherapy-bachelor-of-science-hons/,"The program takes (4) years. It includes two (2) disciplines of Diagnostic Imaging and Radiotherapy. Diagnostic Imaging is a method for examining and identifying the structure and function of organs in the human body through image production. Images are produced through the use of various modalities such as general radiography, computerized tomography (CT) imaging, magnetic resonance imaging (MRI), ultrasound imaging and radionuclide imaging. Radiotherapy is also associated with the treatment of diseases especially cancer, using ionizing radiation such as X-rays, gamma rays and electron beam. Radiotherapy uses many types of equipment such as cobalt-60 telescope unit equipment and linear accelerators. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Dietetics - Bachelor (Hons),http://www.ukm.my/studyukm/dietetics-bachelor-of-science-hons/,"The program takes at least 4 years or 8 semesters. It involves the acquisition of knowledge in the field of Nutrition and Dietetics for 6 semesters and training practice of clinical nutrition at the end of the second semester. Students will be trained in the aspects of hospital nutrition and also counselings skills in outpatient clinics. Experienced dieticians will be able to provide quality and excellent service not only in hospitals but at community level, both in outpatient clinics and in the Ministry of Health Malaysia’s health clinics. Graduates of the program can also serve as consultants in areas related to nutrition and personal health. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Economics - Bachelor (Hons),http://www.ukm.my/studyukm/economics-bachelor-hons/,"This program is designed to produce students with a firm foundation in theories and concepts of economics, various skills in marketing, thinking, communication, and leadership. After graduating, your job offer will be various and exciting allowing you to become an economist, educator, executive, and banker.",37800,3,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Electric and Electronic Engineering- Bachelor (Hons),http://www.ukm.my/studyukm/electric-and-electronic-engineering-bachelors-hons/,"Currently, PKE offers two study programme which are: ",63100,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
English Language Studies - Bachelor (Hons),http://www.ukm.my/studyukm/english-language-studies-bachelor-of-arts-hons/,"This programme aims to develop highly flexible graduates specialized in the English language field. Students of this programme will explore a varied range of facets related to the English language including but not limited to linguistics, education and training, English literature and performing arts as well as corporate and professional applications of English. The courses offered in the programme touches on all the different avenues of English.",37800,3,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Entrepreneurship & Innovation - Bachelor (Hons),http://www.ukm.my/studyukm/entrepreneurship-and-innovation-bachelor-hons/,"This program is designed to produce students with a firm foundation in business and entrepreneurship knowledge. Students also will be exposed to negotiation and marketing skills, thinking and problem solving skills, and leadership management. After graduating, your job offer will be various and exciting allowing you to become entrepreneur, executive, and manager.",37800,3,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Environmental Health - Bachelor (Hons),http://www.ukm.my/studyukm/environmental-health-bachelor-of-science-hons/,The program takes four (4) years of study. Students are taught about the relationship between humans and the environment that are directly related to health. They will be exposed to current environmental health issues as well as environmental quality aspects in improving the health status of the community. ,54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Environmental Science - Bachelor (Hons),http://www.ukm.my/studyukm/environmental-science-bachelor-of-science-hons/,"Environmental Science Program is an Undergraduate program with Distinction which is a multi-disciplinary in nature, covering subjects related to environmental system and natural resources, utilization of resources for development, migration of pollutants and their impact on environments as a whole. This program offers fundamental knowledge in biology, chemistry, earth science and other multi-disciplinary courses, emphasis the understanding of scientific and social aspects in environmental problems. The understanding toward dynamic of environmental changes caused by natural process and changes due to man-made actions require knowledge beyond the multi-field of sciences. Field work and laboratory work will sharpen the analytical and critical thinking of the students. Environmental Science Program is specially designed to provide student with knowledge and technical skill to identify, analysis and overcome environmental issues from the perspective of multi-disciplines based on precisely science knowledge. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Food Science and Nutrition - Bachelor (Hons),http://www.ukm.my/studyukm/food-science-and-nutrition-bachelor-of-science-hons/,"Food Science and Nutrition Program combines aspects of food science and also nutrition. The food science aspect focusses on food production, processing, preservation, marketing and food quality. The nutrition aspect focusses on the consumption and use of nutrients. The combined effect of both food science and nutrition can produce food products that are nutritious and of quality in a systematic and dynamic manner. This programme is formed to produce graduates that are not only able to fulfill the manpower needs of the food industry but it is hoped that the graduates will be able to help in addressing issues and problems regarding food at the global level. Students will undergo a compulsory industrial training at food companies or research institutes and also carry out independent research to acquire research experience in the laboratory. Graduates from this programme commonly are employed by the food industry. In addition, this programme also undergo various collaborative researches with government research institutes such as Malaysian Palm Oil Board (MPOB), Malaysian Agricultural Research and Development Institute (MARDI), Standard and Industrial Research Institute of Malaysia (SIRIM). ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Food Science with Business Management - Bachelor (Hons),http://www.ukm.my/studyukm/food-science-with-business-management-bachelor-of-science-hons/,"This programme is developed to produce graduates with knowledge in the field of food science and business management. Both aspects are important in the food industry which involves processing and production of food encompassing activities such as handling, purchasing and marketing, company regulations, monitoring and cost control. Several of the courses are from Faculty of Economy and Business Administration and will give students an advantage in their professional careers. Graduates of this program will be equipped with management skills and technical know-how regarding the food industry. Thus, it is hoped that graduates can contribute toward the increased food production and management whether in the large or small-scale enterprises (SMEs) related to food. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Forensic Science- Bachelor (Hons),http://www.ukm.my/studyukm/forensic-science-bachelor-of-science-hons/,"This program takes at least four (4) years. It is a science-based field of health science and prepares individuals to meet the human resource needs in the Forensic Science field while responding to the requirements of the 9th Malaysia Plan in addressing a wide range of criminal cases. In addition, the program aims to increase enrolment capacity in science as well as enhance Forensic Science research in Malaysia. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Genetics - Bachelor (Hons),http://www.ukm.my/studyukm/genetics-bachelor-of-science-hons/,"Genetics is an area of knowledge and study about genes and their role in determination of function, development, heredity and evolution at cellular, organismal and population levels. The Genetics programme employs classical and molecular approaches with emphasis on their applications in medical, agriculture and biotechnology. In this programme, students will be exposed to the genetics knowledge and techniques, specifically on human, microbial animal and plant genetics. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Geography - Bachelor (Hons),http://www.ukm.my/studyukm/geography-bachelor-of-social-sciences-hons/,"The Geography Program was originally a department before the FSKK was restructured. This department was established in conjunction with the establishment of UKM in May 1970. Starting with 7 students, the Geography Program (formerly the Department of Geography) has produced 620 graduates until 2007. In addition to offering core knowledge in the disciplines of Human Geography and Physical Geography, this program also applies various application knowledge in line with current technological developments such as Geographic Information System (GIS) applications, modeling for the purpose of predicting a geographical phenomenon and remote sensing applications (RS). In addition, a center of excellence, the Earth Observation Center (EOC) has been established and placed under the operation of the Geography Program since 1996. The method of course implementation is reviewed internally by UKM through various mechanisms planned by the Academic Planning and Management Committee (JPPA) Universities and Faculties.",37800,3,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Geology - Bachelor (Hons),http://www.ukm.my/studyukm/geology-bachelor-of-science-hons/,"The word Geology is derived from the Greek words ‘geo’ which means the earth and “logos” which means knowledge. This knowledge regarding the earth explains its origin, contents as well as the history of its evolution. From a field that is descriptive and philosophical, geology combines knowledge from mathematics, chemistry, physics and biology to achieve its main dynamic function that is the exploration of earth resources (groundwater, metallic minerals, petroleum, natural gas, radioactive minerals and construction materials) that are required for the development of human civilisation. Today modern geology is better known as geosciences and has expanded its scope from economic geology and petroleum geology to engineering geology. Geologists currently work together with civil and geotechnical engineers in providing geological information for the construction of large infrastructure such as dams, bridges, sky scraper and airports that are safe and cost effective. In environmental geology, the geologists are investigating geo-disasters such as landslides, mudflows, earthquakes, tsunami, volcanoes and the like in order to reduce damage and construct warning systems. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Information System - Bachelor (Hons),http://www.ukm.my/studyukm/information-system-bachelor-of-software-engineering-hons/,"Information Technology (IT) has an important role in our everyday life. IT enables individuals and organisations to gather, organise and analyse data quickly to assist them achieve their goals. The rapidly changing technologies in IT world requires IT professionals to adapt themselves with these changes. It is therefore, this programme is tailored to address these important aspects with aspiration to equip graduates with a strong IT foundation and practical skills. Graduates of the programme can explore various career opportunities such as information/systems design analysts; IT developer for manufacturing, production and computing industries; data scientist; programmer and consultant. Apart from the industrial training, the programme also benefits from hands-on training session conducted by our industry partner.  ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Information Technology - Bachelor (Hons),http://www.ukm.my/studyukm/information-technology-bachelors-hons/,"Information Technology (IT) has an important role in our everyday life. IT enables individuals and organisations to gather, organise and analyse data quickly to assist them achieve their goals. The rapidly changing technologies in IT world requires IT professionals to adapt themselves with these changes. It is therefore, this programme is tailored to address these important aspects with aspiration to equip graduates with a strong IT foundation and practical skills. Graduates of the programme can explore various career opportunities such as information/systems design analysts; IT developer for manufacturing, production and computing industries; data scientist; programmer and consultant. Apart from the industrial training, the programme also benefits from hands-on training session conducted by our industry partner.  ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Law - Bachelor (Hons),http://www.ukm.my/studyukm/law-bachelor-hons/,"The Bachelor of Accounting program prepares the students to face the ever-changing real world, technological advancements and globalisation. The program is:",49900,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Marine Sciences - Bachelor (Hons),http://www.ukm.my/studyukm/marine-sciences-bachelor-of-science-hons/,"The field of marine science relates to living and non-living resources and physical aspects of the ocean. As a maritime nation, Malaysia gives emphasis on education and research in marine science. UKM is among the earliest to offer marine science study at the undergraduate level. At the early stage the academic programme and research on marine science in UKM concentrated on ecology aspects, diversity and marine resources. Now the academic programme and research in marine science in UKM has developed and covers almost the entire sub-field of marine science. The academic staff involved in teaching and research has expertise covering areas such as biology, ecology and taxonomy of marine invertebrates; biology and ecology of coral reef; physiology; bacterioplankton ecology and diversity; phytoplankton and sea weed; marine biotechnology; marine chemistry; marine geology; marine remote sensing and GIS; physical oceanography; marine meteorology and ocean climate and others. Students from the Marine Science Programme are given the opportunity to learn and understand both the biological (marine biology) and physical (oceanography) aspects of marine sciences. Numerous marine science courses are offered based on current demands and development. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Materials Science - Bachelor (Hons),http://www.ukm.my/studyukm/materials-science-bachelor-of-science-hons/,"Materials Science is a multidisciplinary field comprising of basic science of physics, chemistry and mathematics. Generally, material is classified into metals, polymers, ceramics, composites and semiconductors. Field of knowledges covering the microstructures and material properties, fabrication, testing and analysis and material application. Students are required to undergo 12 weeks industrial training at the industry or research centre associated to material activities. The training will expose the students with professional experience in technical and managerial aspects in material-related industry. To equip students with the research techniques, students are required to carry three stages of practical training in the laboratory and a research project during the period of study at the Materials Science Program. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Mathematics - Bachelor (Hons),http://www.ukm.my/studyukm/mathematics-bachelor-of-science-hons/,"Students enrolled in the Mathematics programme, are exposed to thorough knowledge on theoretical as well as the applications. The students will be exposed to a variety of problem solving techniques, both analytically and numerically. Students are also provided with the knowledge in defining problems, understanding the stated problems, and this will shape the students’ creativity in handling the techniques of solving and proving. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
