uni_name,course,Fee,Duration,Contact,Link,Address,Introduction
Universiti Malaysia Perlis (UniMAP), BACHELOR OF ELECTRONIC ENGINEERING WITH HONOURS ,2200 per semester,8 semester,"Tel   : 04 - 988 5509/5515   Fax : 04 - 988 5510
Email : ftken@unimap.edu.my",https://ftken.unimap.edu.my/index.php/blog-2/academician-2/academician-10/academician-13,"Faculty of Electronic Engineering Technology (FTKEN)
Universiti Malaysia Perlis (UniMAP), 
Pauh Putra Campus, 02600 Arau, Perlis, MALAYSIA.","?Electronic engineering programme has been designed to fulfil the needs for professional manpower in the areas of integrated circuit (IC) design, electronic design automation (EDA) tools and conventional electronics. The programme covers both full custom IC design and semi custom IC design for digital, analogue, mixed-signals systems, field programmable gate array (FPGA) applications and system on chip (SoC) design. The programme also emphasizes on conventional electronic subjects, which include power electronic, electronic instrumentation, control systems, computer architecture and digital signal processing."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF ELECTRONIC ENGINEERING TECHNOLOGY (ELECTRONIC SYSTEM) WITH HONOURS ,2200 per semester,8 semester,"Tel   : 04 - 988 5509/5515   Fax : 04 - 988 5510
Email : ftken@unimap.edu.my",https://ftken.unimap.edu.my/index.php/blog-2/academician-2/academician-11/academician-17,"Faculty of Electronic Engineering Technology (FTKEN)
Universiti Malaysia Perlis (UniMAP), 
Pauh Putra Campus, 02600 Arau, Perlis, MALAYSIA.","Bachelor of Electronic Engineering Technology (Hons.)(Electronic System) is a programme offered under Department of Electronic Engineering Technology. The programme curriculum which is has been designed is aimed to render the needs of knowledge highly skilled engineering technologist in parallel with Malaysian National Industrial Master Plan aspiration. The programme focuses on industrial exposure, through direct involvement with the industrial sectors. This four-year programme emphasizes on integrated circuit (IC) design and IC fabrication with include semiconductor technology, micro fabrication process technology, microelectronic reliability an failure analysis. In addition, the programme also covers semiconductor testing, Micro-Mechanical System (MEMS) and IC packaging. "
Universiti Malaysia Perlis (UniMAP),BACHELOR OF ELECTRONIC ENGINEERING TECHNOLOGY (ELECTRONIC TELECOMMUNICATION DESIGN) WITH HONOURS,2200 per semester,8 semester,"Tel   : 04 - 988 5509/5515   Fax : 04 - 988 5510
Email : ftken@unimap.edu.my",https://ftken.unimap.edu.my/index.php/blog-2/academician-2/academician-11/academician-18,"Faculty of Electronic Engineering Technology (FTKEN)
Universiti Malaysia Perlis (UniMAP), 
Pauh Putra Campus, 02600 Arau, Perlis, MALAYSIA.","Bachelor of Engineering Technology (Hons.) (Electronic Telecommunication Design) is designed to prepare students for careers in the telecommunications industry as well as to address the transfer and continuing education needs of associate degree graduates in Telecommunication or other related disciplines. The programme has a sound foundation of Mathematics and Physics, provides a variety of electives in the Arts, Science and the Humanities and is focused on applying current engineering technology methods to the solution of technical problems."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF ELECTRONIC ENGINEERING TECHNOLOGY (ELECTRONIC NETWORK DESIGN) WITH HONOURS ,2200 per semester,8 semester,"Tel   : 04 - 988 5509/5515   Fax : 04 - 988 5510
Email : ftken@unimap.edu.my",https://ftken.unimap.edu.my/index.php/blog-2/academician-2/academician-11/academician-19,"Faculty of Electronic Engineering Technology (FTKEN)
Universiti Malaysia Perlis (UniMAP), 
Pauh Putra Campus, 02600 Arau, Perlis, MALAYSIA.","Students of this programme are equipped with strong theoretical foundation and ample practical work to cater for the high demands of current industry where everything is now connected via electronic network. These industry driven skills an knowledge include security design, network modelling, router administration and networking programming."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF TECHNOLOGY IN INDUSTRIAL ELECTRONIC AUTOMATION WITH HONOURS,2690 per semester,7 semester,"Tel   : 04 - 988 5509/5515   Fax : 04 - 988 5510
Email : ftken@unimap.edu.my",https://ftken.unimap.edu.my/index.php/blog-2/academician-2/academician-12/academician-21,"Faculty of Electronic Engineering Technology (FTKEN)
Universiti Malaysia Perlis (UniMAP), 
Pauh Putra Campus, 02600 Arau, Perlis, MALAYSIA.","?Bachelor of Technology in Industrial Electronic Automation with Honours is a programme which has been designed is to render knowledgeable highly skilled system integrator technologist in parallel with Malaysian National Industrial Master Plan aspiration. The programme focuses on industrial exposure, through direct involvement with the industrial sectors. This three and a half year programme emphasizes on system integration focusing in industrial revolution 4.0 (IR 4.0) related knowledge and skills, which among others include electronic circuit design technology, flexible manufacturing system, system programming, network security, data acquisition, system development and optimization, system integration designing, automated system design as well as operation management and quality management. This industrial mode programme is also aiming to instil innovation and entrepreneurship skill through the technopreneur projects. Work-ready graduates especially in the field of system integration is aimed to be produced by this programme"
Universiti Malaysia Perlis (UniMAP),BACHELOR OF ELECTRICAL ENGINEERING WITH HONOURS,2200 per semester,8 semester,"Phone: +604-9885601
Fax: +604-9885602",https://ftke.unimap.edu.my/programmes/bachelor-of-electrical-engineering-honours/,"Faculty of Electrical Engineering Technology
Universiti Malaysia Perlis
Pauh Putra Campus
02600 Arau, Perlis","The Electrical Engineering programme leading to the degree of Bachelor of Electrical Engineering (Honours) has a strong focus on the preparation of engineers who can serve the needs of the electric power industry. This programme provides emphasis on the major fields of power engineering, which includes power systems, power electronics, renewable energy, electrical machine design and high voltage engineering. These are offered as compulsory course so as to cope with the rapid change of technology in power engineering. This programme is evaluated by the Engineering Accreditation Council (EAC) and has been accredited by the Board of Engineers Malaysia (BEM). Fundamental subjects on electrical circuit and power engineering are taught in the first two years of study. A broad background in mathematics and computing, electric circuits and systems, analogue electronic circuits and components, digital systems, instrumentations, communications, electromagnetics and control, necessary to underpin the more advanced courses given in the subsequent years. Students undergo practical training after at the semester break of third year to gain practical knowledge from electrical power industries. Final year student project enhances practical skills and the use of innovative and creative ideas."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MECHATRONIC ENGINEERING WITH HONOURS,2200 per semester,8 semester,"Phone: +604-9885601
Fax: +604-9885603",https://ftke.unimap.edu.my/programmes/bachelor-of-mechatronic-engineering-with-honours/,"Faculty of Electrical Engineering Technology
Universiti Malaysia Perlis
Pauh Putra Campus
02600 Arau, Perlis","Program ini bertujuan melahirkan tenaga kerja profesional yang mempunyai pengetahuan asas yang kukuh serta mahir dalam bidang Kejuruteraan Mekatronik. Graduan juga mempunyai semangat profesionalisme yang tinggi. Justeru itu, struktur kurikulum telah dibentuk untuk memberi pelajar kebolehan menganalisa, merekabentuk, mengendali dan menyelenggara peralatan-peralatan elektrik & elektronik, mekanikal, perisian komputer dan teknologi maklumat. Selain daripada kursus teras kejuruteraan, pelajar juga diberikan kemahiran insaniah seperti etika, pengurusan, keusahawanan, komunikasi dan kemahiran berfikir. Selain daripada itu, para pelajar diwajibkan menjalani latihan industri bertujuan melengkapkan mereka dengan pengetahuan teknikal dari industri.
Graduan program ini mempunyai prospek pekerjaan yang luas dalam syarikat-syarikat swasta, industri, jabatan kerajaan dan badan-badan berkanun. Ia merangkumi bidang-bidang seperti bidang kejuruteraan, pengeluaran, penyelidikan, rekabentuk, analisis, pembangunan, pengujian dan lain-lain bidang yang berkaitan."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF ELECTRICAL ENGINEERING TECHNOLOGY (INDUSTRIAL POWER) WITH HONOURS ,2200 per semester,8 semester,"Phone: +604-9885601
Fax: +604-9885604",https://ftke.unimap.edu.my/programmes/bachelor-of-electrical-engineering-technology-hons-industrial-power/,"Faculty of Electrical Engineering Technology
Universiti Malaysia Perlis
Pauh Putra Campus
02600 Arau, Perlis","his programme focuses on the needs of leading electrical engineering technologies to develop an engineer that have more practical skills and knowledge to solve the real problems at the workplace. This programme is known for quality and responsiveness to industry. In addition to a solid foundation in industrial power concepts, students will learn the most current and relevant topics for today’s advanced technologies. Real world theory and applications are emphasised throughout the in industrial power technology degree program and theory is balanced with extensive hands- on experience."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF ELECTRICAL ENGINEERING TECHNOLOGY (ROBOTICS AND AUTOMATION TECHNOLOGY) WITH HONOURS,2200 per semester,8 semester,"Phone: +604-9885601
Fax: +604-9885605",https://ftke.unimap.edu.my/programmes/bachelor-of-electrical-engineering-technology-hons-robotic-and-automation-technology/,"Faculty of Electrical Engineering Technology
Universiti Malaysia Perlis
Pauh Putra Campus
02600 Arau, Perlis","This programme is a multi-disciplinary field that is synergistic of electrical, mechanical, electronic, control and computer engineering discipline which enables its graduates having good theoretical and practical-oriented knowledge of integrated mechatronic systems to cater for the needs in the robotics and automation industry. The curriculum of the programme is designed to produced graduate professionals who equipped with analytical skills and ability to work in all multidisciplinary engineering fields and industries. In addition to a solid foundation in mechatronics concepts, Engineering Technology Degree students learn the most current relevant topics for today’s advanced technologies. Additionally, the learning environment will be more enjoyable and competitive with good mixture between local and international students."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF TECHNOLOGY IN ELECTRICAL SYSTEM MAINTENANCE WITH HONOURS ,2690 per semester,7 semester,"Phone: +604-9885601
Fax: +604-9885606",https://ftke.unimap.edu.my/programmes/bachelor-of-technology-in-electrical-system-maintenance-with-honours/,"Faculty of Electrical Engineering Technology
Universiti Malaysia Perlis
Pauh Putra Campus
02600 Arau, Perlis","Bachelor of Technology in Electrical System Maintenance with Honours is a programme offered under Faculty of Electrical Engineering Technology (FTKE). The program focuses on the field of electrical system maintenance. Students who take this course will learn the different types of electrical system maintenance, especially those used in industries such as electrical systems, solar systems, power systems, building electrical systems and electrical control systems In addition, students are exposed to the knowledge of electrical energy management in preparation for work such as technical reporting, system analysis, maintenance management and project planning Generally, the field of electrical system maintenance is an important area in many industry sectors as the program covers the broad scope of electrical system operation."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MECHANICAL ENGINEERING WITH HONOURS,2200 per semester,8 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-engineering/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","The programme aims to produce holistic graduate engineers who possess not only the technical knowledge and critical skills but also equipped with skills in information technology, communication, entrepreneurship, and sound ethical values.

This programme is tailored to produce mechanical engineers who are sound and specialized in applied mechanics, design & manufacturing and thermo-fluids & energy fields.

The programme emphasizes on the design and synthesis of mechanical components and systems. Mechanical engineers are usually involved in research and development, design and manufacturing, engine and thermal energy systems and also machinery. Mechanical engineering graduates are highly flexible and could work in almost every industrial engineering sector."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MANUFACTURING ENGINEERING WITH HONOURS,2200 per semester,8 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-engineering/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","	
In general, the curriculum of the Bachelor of Manufacturing Engineering with Honours offered by the Faculty of Mechanical Engineering Technology, UniMAP has been carefully designed to create a uniquely BALANCE and VERSATILE; between fundamental engineering, technical specialization, production system and industrialmanagement, as well as having highly sought after skills by industries including quality improvement tools. Furthermore, the program is extensively industry-linked, such that students will be exposed to real working situations right from the beginning.

With a well-balanced curriculum, graduates of this program will be able to work and expand their careers into various fields such as Automotive, Oil and gas, Tooling/ Machinery, Aerospace, Electrical/Electronics, Semi-Conductor, Plant/food processing, Chemicals/ Composite/Advanced Materials, Consultant, Engineering & product development firms, Research & development agencies, Medical instrumentation, Institute of higher learning and many others. Apart from that, as a program that is accredited by the Engineering Accreditation Council (EAC) and endorsed by the Malaysian Qualifications Agency (MQA), rest assured, graduates will be equipped with ethical awareness to get through their working life, while having adequate groundworks for future career progression."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MECHANICAL ENGINEERING TECHNOLOGY (MACHINING) WITH HONOURS ,2200 per semester,8 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-engineering-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","This programme prepares the workforces who are productive, innovative, creative and well verse with the state-of-the art technology related to mechanical engineering technology. In essence, the programme curricular is designed to lead towards practical needs so as to produce highly skilled graduates in the field of engineering and technology that meet the recent industrial requirement and other sectors concerned. In particular, this programme emphasises on the applications or utilisations of related knowledge and skills within the spectrum of mechanical and machining technology fields. This includes material and metal cutting technology, management of technology and sustainability. In addition, the required university course allows the students to enhance their communication and thinking skills, as well as ethical elements of professionalism in their careers."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MECHANICAL ENGINEERING TECHNOLOGY (AGRICULTURAL SYSTEMS) WITH HONOURS,2200 per semester,8 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-engineering-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia",The programme aims to generate engineering technologist who are competent and possess a sound and balanced skill in integrating biological engineering and management principles. The course is delivered based on a practical approach that covers basic and applied engineering principles of economics and business management in the agricultural and related industries. The students are also exposed to agro-industrial know-how through courses and skills that are applicable in many related industries. The final semester of the programme is dedicated to the industrial training activity attaching the students to relevant industries mainly to enhance their capability and skill in accordance to the market needs.
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MECHANICAL ENGINEERING TECHNOLOGY (PRODUCT DESIGN) WITH HONOURS ,2200 per semester,8 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-engineering-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","The objectives of this programme is to produce highly skilled graduates that possess solid foundation knowledge in the general field of mechanical engineering technology and in the areas of product development particularly. The programme has been designed in a holistic manner to provide students with a blend of theoretical knowledge, industrial artistic and technical skills in the discipline of technology-based product development in line with the requirements of the mechanical engineering industry. Therefore, it would help in producing engineering technologist who are responsible in applying, preparing, maintaining and development products in all aspects to modern mechanical engineering technology."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MECHANICAL ENGINEERING TECHNOLOGY (MATERIAL PROCESSING) WITH HONOURS,2200 per semester,8 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-engineering-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","The objective of this programme is to produce graduates who are skilled, competitive and have a strong knowledge based in the field of materials processing engineering technology. Graduates will have the capability to demonstrate as a knowledge and talented engineering technologist in problem solving skills, in addition to materials processing, characterisation and testing in materials processing technology field. The courses are delivered based on practical approach that covers four main fields which is metal processing, polymer processing, electronic packaging and ceramic processing as well as principles in economics and management. The programme has been designed to cultivate materials engineering technologist who are committed to the important of life-long learning and continuous improvement. Hence, upholding the importance of professionalism and ethics of material processing profession to form a cultured and more developed society."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF TECHNOLOGY IN INDUSTRIAL MACHINING WITH HONOURS,2690 per semester,7 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","The program focuses on manufacturing and machining. This program will produce machining technologies that carry out work such as machine design and manufacturing systems, manufacturing, machine maintenance, machine facility management and production management and machine related project management. The program also aims to produce techno entrepreneurs in machining-related technologies and subsequently produce respected and referenced professionals in machining technology."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF TECHNOLOGY IN AUTOMOTIVE WITH HONOURS  ,2690 per semester,7 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","This program focuses on the field of automotive technology with an emphasis on three main areas namely automotive manufacturing, vehicle maintenance and vehicle design modifications. In this program, students can choose a specialization or expertise they want to learn from the two options provided, namely vehicle diagnosis expertise and vehicle design modification expertise. Throughout their studies in this program, students will be exposed to various technologies in the automotive industry such as 3D printing, Augmented Reality, Virtual Reality, electric vehicles and unmanned vehicles, in line with the circulation of the 4th Industrial Revolution."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF TECHNOLOGY IN WELDING WITH HONOURS,2690 per semester,7 semester,"Phone: +604 988 5035
Email: pa_ftkm@unimap.edu.my",https://ftkm.unimap.edu.my/study/bachelor-of-technology/,"Faculty of Mechanical Engineering Technology,
Universiti Malaysia Perlis, Kampus Tetap Pauh Putra, 026000 Arau, Perlis, Malaysia","This program focuses on the field of welding technology. The program will produce welding technologies that carry out related welding work including maintenance, fabrication, design, safety advisors and production managers. Apart from that, this program also exposes its students to management knowledge and technology entrepreneurs in the field of welding. This program is designed in line with the requirements of the latest industrial environment and emphasizes and exposes in various welding related industries. In general, the field of welding is an important and widespread field in various industrial sectors which includes works related to fabrication, design of safety advisors and maintenance."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF MATERIAL ENGINEERING WITH HONOURS,2200 per semester,8 semester,"Tel : 04 - 9798751   Fax : 04 - 9798755 
Email : dekanftkk@unimap.edu.my",https://ftkk.unimap.edu.my/programmes-offered/bachelor-of-materials-engineering,"Fakulti Teknologi Kejuruteraan Kimia (FTKK)
Kompleks Pusat Pengajian Jejawi 3
Kawasan Perindustrian Jejawi 
Universiti Malaysia Perlis (UniMAP)
02600 Arau, Perlis , Malaysia","This program aims to produce engineers who are knowledgeable and highly skilled in the field of science and materials engineering which covers the field of study on the properties, testing, selection, processing and application of a material. Learning or studying in the field of material engineering starts from the analysis of the relationship between the structure (atomic) and properties of materials and then design / synthesis of materials based on the latest technological developments. In addition, material engineers play a role in creating a system and technique for the processing or production of a material / product as well as applying engineering theory to recycle used materials for the production of new materials.

Materials engineers are closely related to various types of key materials namely metals, polymers, rubber, ceramics, composites, electronics, bio-materials, semiconductors and superconductors. Materials engineering applies mathematical, scientific and engineering principles to understand the properties of materials in which the field forges the relationship between modern chemistry and physics, besides the engineering design and mathematical analysis."
Universiti Malaysia Perlis (UniMAP),BACHELOR OF CHEMICAL ENGINEERING WITH HONOURS,2200 per semester,8 semester,"Tel : 04 - 9798751   Fax : 04 - 9798755 
Email : dekanftkk@unimap.edu.my",https://ftkk.unimap.edu.my/programmes-offered/bachelor-of-bioprocess-chemical-engineering,"Fakulti Teknologi Kejuruteraan Kimia (FTKK)
Kompleks Pusat Pengajian Jejawi 3
Kawasan Perindustrian Jejawi 
Universiti Malaysia Perlis (UniMAP)
02600 Arau, Perlis , Malaysia","This program aims to produce skilled workers at the professional level who have strong knowledge in design, operation, improvement and conservation of processes involving chemistry at the macro manufacturing level as well as related fields that are growing in line with the National Industrial Policy, Industrial Master Plan, Science Policy and National Technology and Food Agro Policy. In line with that, graduates are able to apply knowledge and skills to solve engineering-related problems. Chemical Engineers differ from the work of chemists, where Chemists perform on a small scale, while Chemical Engineers perform on a larger scale for industrial purposes.

The curriculum structure has been formed emphasizing on theoretical understanding and applied through laboratory practice, computer-assisted learning, workshop, industrial training and projects based on design or technology and engineering problem solving. Graduates have broad job prospects where the need for professional manpower in the field of chemical engineering is very high in line with the government's goal of developing the industrial field. It is estimated that Malaysia needs at least 200,000 engineers to achieve developed country status by 2020. Currently, there are only 70,000 engineers registered in the country."
