cours,Fee,Duration,Link,Address,Contact,Introduction
Bachelor of Science ( Food Technology ) with Honours.,1600  per semester,4 years,https://fast.uthm.edu.my/programs/bachelor-of-science-with-honours-food-technology/,"Fakulti Sains Gunaan dan Teknologi, UTHM Kampus Pagoh, KM1, Jln Panchor, 84600 Muar, Johor",email: fast@uthm.edu.my,NA
Bachelor of Science ( Applied Physics ) with Honours.,1600  per semester,4 years,https://fast.uthm.edu.my/programs/bachelor-of-science-with-honours-applied-physics/,"Fakulti Sains Gunaan dan Teknologi, UTHM Kampus Pagoh, KM1, Jln Panchor, 84600 Muar, Johor",email: fast@uthm.edu.my,NA
Bachelor of Science ( Biodiversity & Conservation ) with Honours.,1600  per semester,4 years,https://fast.uthm.edu.my/bachelor-of-science-biodiversity-conservation-with-honours/,"Fakulti Sains Gunaan dan Teknologi, UTHM Kampus Pagoh, KM1, Jln Panchor, 84600 Muar, Johor",email: fast@uthm.edu.my,NA
Bachelor of Science Industrial Chemistry with Honours.,1600  per semester,4 years,https://fast.uthm.edu.my/bachelor-of-science-industrial-chemistry-with-honours/,"Fakulti Sains Gunaan dan Teknologi, UTHM Kampus Pagoh, KM1, Jln Panchor, 84600 Muar, Johor",email: fast@uthm.edu.my,NA
Bachelor of Information Technology,1600  per semester,3.5 years,http://fsktm.uthm.edu.my/v4/index.php/offered-programmes/undergraduate-programmes/bachelor-of-information-technology,"Faculty of Computer Science & Information Technology,
Universiti Tun Hussein Onn Malaysia,
86400, Parit Raja, Batu Pahat, Johor, Malaysia.","Tel.: +(607) 453 3601
Fax: +(607) 453 6023
email: azizulr@uthm.edu.my","The program is designed to produce graduates who:

1. Applying knowledge and understanding of essential facts, concepts, principles and theories in the field of Information Technology.

2. Implementing Information Technology knowledge in analyzing, modeling, designing, developing and evaluating effective computing solutions.

3. Communicate in spoken and written form in order to convey information, problems and solutions to the problems effectively.

4. Analyze the appropriate techniques in the field of Information Technology  to solve problems using analytical skills and critical thinking.

5. Demonstrate teamwork skills, interpersonal and social effectively and confidently.

6. Using the skills and principles of lifelong learning in academic and career development.

7. Fostering entrepreneurship in career development.

8. Adopt values, attitudes and responsibilities in a professional manner in the perspectives of social aspect, ethics and humanity.

9. Effectively carry out the responsibilities of leadership."
Bachelor of Computer Science (Software Engineering) with Honours,1600  per semester,3.5 years,http://fsktm.uthm.edu.my/v4/index.php/offered-programmes/undergraduate-programmes/bachelor-of-computer-sciences-software-engineering-with-honours,"Faculty of Computer Science & Information Technology,
Universiti Tun Hussein Onn Malaysia,
86400, Parit Raja, Batu Pahat, Johor, Malaysia.","Tel.: +(607) 453 3601
Fax: +(607) 453 6023
email: azizulr@uthm.edu.my","The program is designed to produce graduates who:

1. Applying knowledge and understanding of essential facts, concepts, principles and theories in the field of Computer Science Software Engineering.

2. Implementing Software Engineering knowledge in analyzing, modeling, designing, developing and evaluating effective computing solutions.

3. Communicate in spoken and written form in order to convey information, problems and solutions to the problems effectively.

4. Analyze the appropriate techniques in the field of Software Engineering to solve problems using analytical skills and critical thinking.

5. Demonstrate teamwork skills, interpersonal and social effectively and confidently.

6. Using the skills and principles of lifelong learning in academic and career development.

7. Fostering entrepreneurship in career development.

8. Adopt values, attitudes and responsibilities in a professional manner dariaspeksosial, ethics and humanity.

9. Effectively carry out the responsibilities of leadership."
Bachelor of Computer Science (Multimedia) With Honours,1600  per semester,3.5 years,http://fsktm.uthm.edu.my/v4/index.php/offered-programmes/undergraduate-programmes/bachelor-of-computer-science-multimedia-with-honours,"Faculty of Computer Science & Information Technology,
Universiti Tun Hussein Onn Malaysia,
86400, Parit Raja, Batu Pahat, Johor, Malaysia.","Tel.: +(607) 453 3601
Fax: +(607) 453 6023
email: azizulr@uthm.edu.my","Graduate from this programme may pursue a wide range of careers such as Multimedia Content Designer/Developer, Multimedia Programmer, Computer Games Developer, Interactive Media Specialist, Web Designer/Developer, Mobile Application Developer, Application Specialist, Creative Director, Information Systems Manager, Academicians, IT Consultant, Technical Specialist, Technical Consultant, Software Developer/Programmer, and IT Support/Helpdesk"
Bachelor of Computer Science (Web Technology) with Honours,1600  per semester,3.5 years,http://fsktm.uthm.edu.my/v4/index.php/offered-programmes/undergraduate-programmes/bachelor-of-computer-science-web-technology-with-honours,"Faculty of Computer Science & Information Technology,
Universiti Tun Hussein Onn Malaysia,
86400, Parit Raja, Batu Pahat, Johor, Malaysia.","Tel.: +(607) 453 3601
Fax: +(607) 453 6023
email: azizulr@uthm.edu.my","The technology of the World Wide Web is fast expanding and therefore, the career prospect for a well-trained graduate in this technology is in demand. With a Bachelor of Computer Science in Web Technology offered by this department, the student may pursue various professional web careers such as Web Designer, Web Developer, Web Producer, Web Consultant, Server Programmer and many other Web or Computer Science related jobs. These jobs are said to be the fastest growing occupation in the next decade. 

In this program, our students are offered a wide range of Computer Science courses consisting of the general Computer Science courses with some additional majoring and also electives courses focusing more on the World Wide Web technology."
Bachelor of Computer Science (Information Security) with Honours,1600  per semester,3.5 years,http://fsktm.uthm.edu.my/v4/index.php/offered-programmes/undergraduate-programmes/bachelor-of-computer-science-information-security-with-honours,"Faculty of Computer Science & Information Technology,
Universiti Tun Hussein Onn Malaysia,
86400, Parit Raja, Batu Pahat, Johor, Malaysia.","Tel.: +(607) 453 3601
Fax: +(607) 453 6023
email: azizulr@uthm.edu.my",NA
Bachelor of Technology Management with Honours.,1600  per semester,4 years,https://ftmb.uthm.edu.my/,"Faculty of Technology and Business Management, Jalan FPTP,
Universiti Tun Hussein Onn Malaysia,
86400 Parit Raja,
Batu Pahat, Johor
Malaysia","Phone : 07-453 3841/3842/3839
Fax : 07 -453 3833","This programme is designed to produce managers who are able to:
Integrate applications of management and technology in the working environment.
Demonstrate critical and innovative thinking together with problem solving competencies to
achieve organizational objectives.
Exhibit exemplary leadership qualities communication and team work to achieve
organizational objectives.
Exemplify professional and ethical conduct and accountability aligned with the national
aspiration."
Bachelor of Technology Management ( Production and Operation ) with Honours.,1600  per semester,4 years,https://ftmb.uthm.edu.my/,"Faculty of Technology and Business Management, Jalan FPTP,
Universiti Tun Hussein Onn Malaysia,
86400 Parit Raja,
Batu Pahat, Johor
Malaysia","Phone : 07-453 3841/3842/3839
Fax : 07 -453 3834","This programme is designed to produce executives and managers who are able to:
Integrated applications of management and technology in planning and managing the organization.
Demonstrate critical and innovative thinking together with production and operation problem solving
competencies to achieve organizational objectives.
Exhibit exemplary leadership qualities communication and team work to achieve organizational
objectives
Exemplify professional and ethical conduct and accountability aligned with the national aspiration."
Bachelor of Technology Management (Furniture Design and Manufacturing) with Honours,1600  per semester,4 years,https://ftmb.uthm.edu.my/,"Faculty of Technology and Business Management, Jalan FPTP,
Universiti Tun Hussein Onn Malaysia,
86400 Parit Raja,
Batu Pahat, Johor
Malaysia","Phone : 07-453 3841/3842/3839
Fax : 07 -453 3835","This programme is designed and develop the Funiture Managers that will able to:
Integrate technology management, furniture design and manufacturing application in furniture
industrial working environment.
Show creative, Innovative and competent in thinking to solve issues toward accomplish organizational
goal.
Practice leadership skills, communication and excellent teamwork achieving organizational goal.
Display personality, responsibility and professional ethic that is excellent in accordance with needs of
the nation."
Bachelor of Technology Management (Construction) with Honours (International Accreditation: Chartered Institute of Building UK),1600  per semester,4 years,https://ftmb.uthm.edu.my/,"Faculty of Technology and Business Management, Jalan FPTP,
Universiti Tun Hussein Onn Malaysia,
86400 Parit Raja,
Batu Pahat, Johor
Malaysia","Phone : 07-453 3841/3842/3839
Fax : 07 -453 3836","This programme is designed to enable student in acquiring relevant technical and technology
management knowledge related to construction management field to pursue a career in the
construction industry. The programme aims to produce graduate who are able to:
• Manage and coordinate construction projects professionally and effectively.
• Practice construction project manager professionally, ethically and fulfill social responsibility.
• Develop interpersonal skills including communication, leadership, decision making and
entrepreneurship."
"Bachelor of Real Estate Management with Honours (International Accreditation: Royal Institution of Chartered Surveyors, RICS)",1600  per semester,4 years,https://ftmb.uthm.edu.my/,"Faculty of Technology and Business Management, Jalan FPTP,
Universiti Tun Hussein Onn Malaysia,
86400 Parit Raja,
Batu Pahat, Johor
Malaysia","Phone : 07-453 3841/3842/3839
Fax : 07 -453 3837","ABOUT THE PROGRAMME
This programme is designed to enable student to acquire relevant combination of technical and
management knowledge to pursue a career in the real estate industry. The programme aims to:
• Equip students with thorough knowledge an in depth understanding of real estate working
environment
• Enable students to utilize advance computing skills by exploiting the potential of IT in real estate
business
• Enhance student’s appreciation of legal economic, planning, technical and facilities management
aspects in real estate management decision making
• Develop interpersonal skills including communication, leadership and teambuilding effectively and
professionally."
Bachelor of Vocational Education (Electric & Electronic) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bbe,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Vocational Education (Catering) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bbc,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Vocational Education (Building and Constructions) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bbb,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Vocational Education ( Creative Multimedia) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bbf,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Vocational Education (General Machining) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bba,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Vocational Education (Welding and Metal Fabrication) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bbd,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Vocational Education (Air Conditioning and Refrigeration) with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-programmes/proforma-bbg,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Foodservice Technology with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-btech/proforma-by66,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Technology in Air Conditioning and Refrigeration with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-btech/proforma-by86,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Technology in Building Construction with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-btech/proforma-by85,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Technology in Welding with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-btech/proforma-by97,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
Bachelor of Technology Industrial Electronic Automation with Honours,1600  per semester,4 years,https://fptv.uthm.edu.my/en/classes/undergraduate-btech/proforma-by87,"Faculty of Technical and Vocational Education

 Universiti Tun Hussein Onn Malaysia

 86400 Parit Raja, Batu Pahat

 Johor, Malaysia","Phone: +607-4564115/4113/4030/4028

Fax: +607-4536585

email: fptv@uthm.edu.my","The programme is designed to be in line with the vision and mission of the University. Through this programme, graduates are expected to become part of the skilled worker who is capable of driving the growth of the country in accordance with the aspirations of Vision 2020. This will be done with the course emphasizing on new technologies, which also include theoretical and practical skills. In addition, this programme will also expose students to a variety of activities that can increase the generic skills and personality."
