"","UMS","Link","Introduction","Address","Contact","Duration","Fee"
"11","BACHELOR OF BUSINESS WITH HONOURS (TOURISM MANAGEMENT)","https://www.ums.edu.my/fpep/","The program aims to nurture innovative and responsible business executives globally (focused on tourism management) in an effort
to support the country’s aspirations in laying Malaysia as a global business hub. Students will be exposed to theoretical and practical
learning beyond the lecture room environment in the hope of producing a holistic business graduates with high entrepreneurial
skills. Thus, students are able to apply the knowledge and skills that needed by the tourism industry in the private or public sector. In addition, this program objective is to recruit and produce individuals equipped with personal, technical and conceptual skills;
which those elements are very significant for tourism that practices service oriented and globally trait.PEO1: Knowledgeable and technical competence in addressing contemporary business challenges.
PEO2: Effective in communication, perform well as a team player and demonstrate good leadership qualities in an organization.
PEO3: Capable to solve problems related to the field of entrepreneurship, creatively, innovatively, ethically, using numerical and technical skills, and through sustainable approach. 
PEO4: Able to demonstrate entrepreneurial skills and recognise the need of lifelong learning, as well as using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"12","BACHELOR OF BUSINESS WITH HONOURS (HOTEL MANAGEMENT)","https://www.ums.edu.my/fpep/","This program aims to nurture innovative and universally responsible business executives (who with focused knowledge in hotel
management) to support the nation’s aspiration in positioning Malaysia as a global business hub. Students will be exposed to both theory and hand- on learning that extend beyond the classroom environment with a barring to produce a holistic business graduate
that possess a high entrepreneurial skills. Coverage of this specialization include courses such as introduction to hospitality industry, front office management, food preparation, food and beverage services, food and beverage management, accommodation
management, hospitality marketing, special events operation, service management for hotel and hotel operation system.PEO1: Knowledgeable and technical competence in addressing contemporary business challenges.
PEO2: Effective in communication, perform well as a team player and demonstrate good leadership qualities in an organization.
PEO3: Capable to solve problems related to the field of entrepreneurship, creatively, innovatively, ethically, using numerical and technical skills, and through sustainable approach. 
PEO4: Able to demonstrate entrepreneurial skills and recognise the need of lifelong learning, as well as using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"13","BACHELOR OF BUSINESS WITH HONOURS (INTERNATIONAL BUSINESS)","https://www.ums.edu.my/fpep/","International Business Programme (HE09) aims to nurture innovative and universally responsible executives to support the nation’s aspiration in positioning Malaysia as a global business hub.
PEO1: Knowledgeable and technical competence in addressing contemporary business challenges. PEO2: Effective in communication, perform well as a team player and demonstrate good leadership qualities in an organization. PEO3: Capable to solve problems related to the field of international business, creatively, innovatively, ethically, using numerical and technical skills, and through sustainable approach. PEO4: Able to demonstrate entrepreneurial skills and recognize the need of lifelong learning, as well as using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"31","BACHELOR OF SCIENCE WITH HONOURS (MULTIMEDIA TECHNOLOGY)","http://fki.ums.edu.my/fki/multimedia-technology/"," 
Bachelor of Information Technology with Honours (Multimedia Technology) is an undergraduate degree programme offered by Faculty of Computing and Informatics at Labuan International Campus.
This programme will provide students with skills in the areas of interactive media, graphics arts, audio technology, animation, video and publishing.
Students will be exposed with the latest and widely utilised multimedia tools as well as programming languages. This will enhance students’ techniques in design and develop multimedia application.
","Faculty Of Computing and Informatics,                                            Universiti Malaysia Sabah, Sabah, Malaysia.","Tel :087-503000 Ext: 410300 (Labuan),                                            088-320000 Ext: 210600 (Kota Kinabalu)                                          Fax :087-503114                              Email: pejfki[at]ums.edu.my","8 semester","-"
"51","BACHELOR DEGREE IN COMPUTER SCIENCE (DATA SCIENCE) WITH HONOURS","http://fki.ums.edu.my/fki/data-science/","Bachelor Degree in Computer Science (Data Science) with Honours is an undergraduate degree program offered by the Faculty of Computer and Informatics at the Kata Kinabalu campus.
The purpose of the program is to produce skilled and capable graduates in the field of data science, in line with the rapid growth of industries that require the expertise of data scientists.
Students will be exposed and trained on the principles of computer science, science and analytics primarily in data mining, visualization techniques, predictive models, and statistics.
Among the courses offered include computer programming, data science basics, data visualization, data analysis, data mining, analysis and system design for data science, and other programming languages.
","Faculty Of Computing and Informatics,                                            Universiti Malaysia Sabah, Sabah, Malaysia.","Tel :087-503000 Ext: 410300 (Labuan),                                            088-320000 Ext: 210600 (Kota Kinabalu)                                          Fax :087-503114                              Email: pejfki[at]ums.edu.my","8 semester","-"
"14","BACHELOR OF COMPUTER SCIENCE WITH HONOURS (SOFTWARE ENGINEERING)","http://fki.ums.edu.my/fki/software-engineering/","The programme aims to produce graduates with knowledge and skills in computer science and software engineering. Students will be exposed to and trained in the fundamentals of computer systems as well as the advancement of technologies in the field of computer science.
The courses offered include computer programming, object-oriented programming, software quality and testing, human computer interaction, theory of computation, operating system, artificial intelligence, final year project, to name a few.
Apart from technical skills, students will be exposed to the soft skills through courses offered. In the final year, students will involve in a computer software development project under the supervision of academic personnel. Their also need to undergo industrial training during their final semester.
","Faculty Of Computing and Informatics,                                            Universiti Malaysia Sabah, Sabah, Malaysia.","Tel :087-503000 Ext: 410300 (Labuan),                                            088-320000 Ext: 210600 (Kota Kinabalu)                                          Fax :087-503114                              Email: pejfki[at]ums.edu.my","8 semester","-"
"21","BACHELOR OF COMPUTER SCIENCE WITH HONOURS (NETWORK ENGINEERING)","http://fki.ums.edu.my/fki/network-engineering/","Bachelor of Computer Science with Honours (Network Engineering) is an undergraduate degree programme offered by Faculty of Computing and Informatics at Kota Kinabalu campus.
Student will be exposed and trained with the fundamental concepts of computer science and computer network.
The offered courses in the programme are in line with the Cisco, IEEE and ACM computing syllabus.
The courses include computer programming, system analysis and design, database, network fundamentals, routing protocols, parallel and distributed computing, web technology, network security, WAN technology and etc.
","Faculty Of Computing and Informatics,                                            Universiti Malaysia Sabah, Sabah, Malaysia.","Tel :087-503000 Ext: 410300 (Labuan),                                            088-320000 Ext: 210600 (Kota Kinabalu)                                          Fax :087-503114                              Email: pejfki[at]ums.edu.my","8 semester","-"
"41","BACHELOR OF INFORMATION TECHNOLOGY (BUSINESS COMPUTING )WITH HONOURS","http://fki.ums.edu.my/fki/business-computing/","Bachelor of Information Technology with Honours (Business Computing) is an undergraduate degree programme offered by Faculty of Computing and Informatics at Labuan International Campus.
Students will be exposed with business computing operation through presentation tier, business tier and database access. 
This degree pogram will emphasises instruction in computer literacy, Business Computing web development, programming and internet marketing.
This program follows the currents environment on business computing technologies.
,","Faculty Of Computing and Informatics,                                            Universiti Malaysia Sabah, Sabah, Malaysia.","Tel :087-503000 Ext: 410300 (Labuan),                                            088-320000 Ext: 210600 (Kota Kinabalu)                                          Fax :087-503114                              Email: pejfki[at]ums.edu.my","8 semester","-"
"15","BACHELOR OF CIVIL ENGINEERING WITH HONOURS","https://www.ums.edu.my/fkj/index.php/en/program/undergraduate/civil-engineering","Civil Engineering is a rewarding, interesting, diverse career that offering the chance to work in various projects all over the world. Civil engineers build the infrastructure which supports daily life – hospitals, schools, roads, harbours, railways, airports and etc.  Hence, comprehensive curriculum content in UMS is designed to produce holistic engineers with strong fundamentals in civil engineering and generic skills. Students are moulded into multi skilled individuals equipped with high intellectual capabilities for various professional positions in the civil engineering field, which includes the construction industry and academia. This program is accredited by Engineering Accreditation Council Malaysia, which is aligned with Washington Accord, world re-known body for engineering accreditation.The career of civil engineer includes the planning, design, construction and maintenance of: 1)Structures – buildings, bridges, electricity grids, oil platforms, foundation and frameworks, flood coastal protection, land drainage, river embankments, breakwaters and sea walls. 2) Transport systems – roads, railways, canals, airports, jetties, tunnels and bridges to transport goods and people safely and swiftly. 3) Public Health services – water supplies, dams, reservoirs, pipelines, sewers, sewage treatment works, sewage outfalls to prevent pollution and disease, irrigation and drainage, waste safe disposal and recovery to protect the environment. The salary range of these jobs are between RM2,500 to RM4,000 for fresh graduates and will increase accordingly.","Faculty Of EngineeringUniversiti Malaysia SabahJalan UMS, 88400Kota Kinabalu, Sabah","Faculty Of EngineeringTel:088-320000 ext:3991 Fax:088-320348
Email 1: fkj[at]ums.edu.my           Email 2: bahagianpentadbiranfkj[at]ums.edu.my","8 semester","-"
"22","BACHELOR OF ELECTRICAL AND ELECTRONICS ENGINEERING WITH HONOURS","https://www.ums.edu.my/fkj/index.php/en/program/undergraduate/electrical-and-electronics-engineering","The field of Electrical and Electronic Engineering plays a significant role in shaping our society. The impact can be seen in sustainable electrical system and electronic consumer products that have served to enhance our quality of life as well forming the basis for major economic activity. Electrical and Electronic Engineering programme offers an academic study spanning over Power System, Communication System, Microelectonics and Nanoelectronics, Signal and Image Processing, and Control and Automation. Students begin with a unifying foundation that introduces the areas of electrical system and electronics, and then systematically build up broad foundations and depth in the different sub-disciplines. Laboratory experimentation, industrial internship, team-based design project and independent final year project provide engagement with principles and techniques of analysis, design, and experimentation. In the final year of studies, students may choose to specialize in any one of the sub-disciplines on offer. This programme is accredited by the Board of Engineers Malaysia and the Washington Accord which allows our graduates to practice as engineers in signatory countries.","Faculty Of EngineeringUniversiti Malaysia SabahJalan UMS, 88400Kota Kinabalu, Sabah","Faculty Of EngineeringTel:088-320000 ext:3991 Fax:088-320348
Email 1: fkj[at]ums.edu.my           Email 2: bahagianpentadbiranfkj[at]ums.edu.my","8 semester","-"
"32","BACHELOR OF ELECTRONIC ENGINEERING (COMPUTER) WITH HONOURS","https://www.ums.edu.my/fkj/index.php/en/program/undergraduate/electronics-computer-engineering","The primary objective of this programme is to provide a broad-based education in electronic engineering and computer science. In the electronic engineering section, students develop skills in understanding, designing and applying analog and digital electronic circuits. In addition, they acquire skills in microprocessor, embedded system, instrumentation, control systems, and telecommunication systems. On the computer science side, students learn programming, cyber security, computer network, and operating system. Students can specialize in artificial intelligence and internet of things (IoT) through electives and final year project. This program is accredited by the Board of Engineers Malaysia (BEM). Recently the program has been accredited for 6 years (2019-2024).","Faculty Of EngineeringUniversiti Malaysia SabahJalan UMS, 88400Kota Kinabalu, Sabah","Faculty Of EngineeringTel:088-320000 ext:3991 Fax:088-320348
Email 1: fkj[at]ums.edu.my           Email 2: bahagianpentadbiranfkj[at]ums.edu.my","8 semester","-"
"42","BACHELOR OF CHEMICAL ENGINEERING WITH HONOURS","https://www.ums.edu.my/fkj/index.php/en/program/undergraduate/chemical-engineering","Chemical Engineering is bringing Chemistry in the test tube to mass production, at larger scales, through either well-defined or ill-defined geometry.  It converts raw materials into marketable products profitably, safely and sustainably by being kind to the environment.  A candidate for a chemical engineering degree has to be fluent in the fundamentals of physics, mathematics and chemistry. .  The aim of the programme is to produce professionals of graduates in the sectors of oil and gas, manufacturing industries, agricultural produce and other related industries.  Facilities include well-equipped library, laboratories and simulation software.  Linkage with industry has ensured that the program is relevant and up to date.Chemical engineers are also known as universal engineers, they are employed in a wide range of industries. Many of our alumni are currently working in sectors of oil and gas, biotechnology (biomass and biofuel), manufacturing and processing, wastewater and waste treatment. They have gone into design, consultancy, certification, plant management, plant operation and sales. The starting basic salary ranges from RM2,500 to RM5,000 per month subject to the company and sector.","Faculty Of EngineeringUniversiti Malaysia SabahJalan UMS, 88400Kota Kinabalu, Sabah","Faculty Of EngineeringTel:088-320000 ext:3991 Fax:088-320348
Email 1: fkj[at]ums.edu.my           Email 2: bahagianpentadbiranfkj[at]ums.edu.my","8 semester","-"
"52","BACHELOR OF MECHANICAL ENGINEERING WITH HONOURS","https://www.ums.edu.my/fkj/index.php/en/program/undergraduate/mechanical-engineering","Mechanical Engineering is one of the fundamental components that has driven the global economy since the first industrial revolution. The shift to industrial revolution 4.0 (IR 4.0) continues to extend the breadth of the mechanical, manufacturing, production and related services into cyber-physical systems through adoption of element of internet and digital data.
The 4-year full time Mechanical Engineering programme in UMS provides the student with the necessary knowledge and skills in theory and application of machinery, thermo-fluids, materials, manufacturing, management, computer aided design (CAD), product design and control. A major input of the programme is the emphasis on laboratory and computer aided product design. The mission of the Mechanical Engineering programme (HK08/UH6521001) is to provide an education that builds within undergraduates a basic understanding of mechanical engineering principles built on a foundation of physical science, mathematics, computing, and technology. 
CAREER PROSPECTS
Mechanical engineers involve in various stages of development, production, and implementation of daily and industrial products or systems, from design, manufacture, to operation management. Graduates of this programme find employment in manufacturing industry, semiconductors, healthcare, agricultural industry, oil and gas, energy, construction, consulting firms, HVAC, mechatronics, marketing, education and related industries. 
","Faculty Of EngineeringUniversiti Malaysia SabahJalan UMS, 88400Kota Kinabalu, Sabah","Faculty Of EngineeringTel:088-320000 ext:3991 Fax:088-320348
Email 1: fkj[at]ums.edu.my           Email 2: bahagianpentadbiranfkj[at]ums.edu.my","8 semester","-"
"61","BACHELOR OF OIL AND GAS ENGINEERING WITH HONOURS","https://www.ums.edu.my/fkj/index.php/en/program/undergraduate/oil-and-gas-engineering","Oil and gas engineering covers the production of oil and gas from subsurface (underground) to surface in an economical and environmental safe way. An oil and gas engineer is trained to apply physics, chemistry, mathematics and engineering principles to identify and analyzing problems for getting optimum solution to produce oil and gas from the subsurface to surface. They also will develop skills to tackle multi-disciplinary problems and work either in a team and/or individually. Students will be learning fundamental upstream and downstream activities such as design, development and operation of systems for locating, extracting, processing and refining crude petroleum and natural gas, including mining and drilling systems, processing and refining systems and facilities, storage facilities, transportation systems, enhanced oil recovery, well logging and management, and related environmental, economic and safety systems. 
Oil/gas well Consultants, Production Engineer, Completion Engineer, Drilling Engineer, Reservoir Engineer, Equipment and Software Engineer, Academician, Simulator, Process Engineer, Project Manager.","Faculty Of EngineeringUniversiti Malaysia SabahJalan UMS, 88400Kota Kinabalu, Sabah","Faculty Of EngineeringTel:088-320000 ext:3991 Fax:088-320348
Email 1: fkj[at]ums.edu.my           Email 2: bahagianpentadbiranfkj[at]ums.edu.my","8 semester","-"
"43","BACHELOR OF NUTRITION WITH HONOURS","https://www.ums.edu.my/fsmp/index.php/en/program/undergraduate/nutrition","This programme will train students in nutritional sciences for the promotion of human health and prevention of diseases. Students of this programme will study fundamental and professional courses that include scientific, technical and professional knowledge, suitable for professional recognition as a nutritionist. Students must undertake compulsory community engagement throughout the duration of the programme as well as industrial training outside the university to gain work experience and opportunities to apply their theoretical knowledge and practical skills. Graduates from this programme can be employed as nutritionists in government agencies throughout Malaysia, in private sectors as industrial nutritionists or product nutritionists in the food industry, in non-governmental organisations focusing on public health, in academia and research organisations as academics and researchers, as entrepreneurs to cater for nutrition related requirements and demands of various population groups and as nutritionists in communication and mass media work.","FACULTY OF FOOD SCIENCE AND NUTRITION, UNIVERSITI MALAYSIA SABAH, JALAN UMS, 88400 KOTA KINABALU SABAH, MALAYSIA","Contact No: (+06) 088 - 320000 ext: 210 900 (General Office); 210 902 (Secretary Office)","8 semester","-"
"33","BACHELOR OF FOOD SCIENCE WITH HONOURS (FOOD SERVICE)","https://www.ums.edu.my/fsmp/index.php/en/program/undergraduate/food-service","This programme would enable students to acquire the necessary knowledge in the field of food science and food service. Students will have the opportunity to learn basic knowledge of food science such as food preservation, food processing, food safety and quality control, food legislation and standard, and functions of food nutrients. Besides that, students will also acquire theoretical knowledge and practical skills in the field of food service such as food service system operation, food service entrepreneurship and accounting, basic cooking, commercial food preparation, menu development, as well as arrangement, design and equipment for food service. Students are required to undergo industrial training in various food industries in private and institutional organization such as “unit sajian” in healthcare institutions, food safety and quality unit in hotel, research institutes or government agencies. Graduates from this programme can be employed in food industries particularly in healthcare, hotel, catering industries, education and research institutes.
","FACULTY OF FOOD SCIENCE AND NUTRITION, UNIVERSITI MALAYSIA SABAH, JALAN UMS, 88400 KOTA KINABALU SABAH, MALAYSIA","Contact No: (+06) 088 - 320000 ext: 210 900 (General Office); 210 902 (Secretary Office)","8 semester","-"
"16","BACHELOR OF FOOD SCIENCE WITH HONOURS (FOOD SCIENCE AND NUTRITION)","https://www.ums.edu.my/fsmp/index.php/en/program/undergraduate/food-science-and-nutrition","This program is designed to produce food scientists specializing in food and nutrition science. The students will study the physical, microbiological and chemical aspects of food with emphasis on food science (food toxicology, functional foods, food innovation, enzymes in food processing, food ingredient) and nutritional content, food nutrition and health effects. Students are required to undergo industrial training outside the university to gain working experience and opportunity to apply practical theoretical and practical knowledge. Graduates from this program have the opportunity to gain employment in the food industry, government / non-governmental agencies, and education and research sectors. This program does not lead to qualification to work as a nutritionist in Malaysia.","FACULTY OF FOOD SCIENCE AND NUTRITION, UNIVERSITI MALAYSIA SABAH, JALAN UMS, 88400 KOTA KINABALU SABAH, MALAYSIA","Contact No: (+06) 088 - 320000 ext: 210 900 (General Office); 210 902 (Secretary Office)","8 semester","-"
