course,Link,Introduction,Address,Contact,Duration,Fee
"
							UW6723001 - Bachelor of Nursing						",https://www.unimas.my/courses-finder/course/uw6723001,"The Bachelor of Nursing with Honours Programme has been designed to enable pre-registration students to acquire sound knowledge and skills base for beginning professional nursing practice. In addition, the post-registration students would take on this opportunity to strengthen and broaden their knowledge of nursing and its related and supporting disciplines to improve nursing care.

The programme also provides an appropriate educational base from which successful students may proceed to post-graduate studies in nursing. It values creativity in developing human potential and encourages its students to be both critical thinkers and independent learners. Students are, therefor, expected to be active participants in the teaching-learning process through their involvement in all of the programme’s educational activities.
","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							WA12 - Bachelor Of Social Sciences (Hons) Industrial Relations And Labour Studies 						",https://www.unimas.my/courses-finder/course/wa12,"Industrial Relations and Labour Studies programme enables the students to recognize the issues of globalization, production and the multidivisional nature of work. This includes examining the changing patterns in the work processes and its implications on daily routines of individuals, families and society. It also covers the labour relations between workers, employers and the Government, as well as the relevant laws governing this issue. In addition, this specialization also focuses on the latest issues in development, planning and management of human resources as well as other significant aspects related to research.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WA14 - Bachelor Of Social Sciences (Hons) Anthropology And Sociology 						",https://www.unimas.my/courses-finder/course/wa14,"Anthropology and Sociology programme offers a thorough theoretical foundation for enhancing students’ analytical skills when interpreting society and its issues. It provides extensive knowledge on themes like environment, culture, deviance, youth, indigenous communities, and globalisation. The programme is at the forefront in the development of Borneo studies incorporated through teaching and research by examining the contributions of the discipline to our knowledge on Bornean societies and transformation. In this connection, the programme’s pursuit of the scholarly lines of inquiry is to critically reflect on the challenges and contradictions arising from the global forces and the effects of capitalist rationalisation on contemporary societies.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WA15 - Bachelor Of Social Sciences (Hons) International Studies 						",https://www.unimas.my/courses-finder/course/wa15,"International Studies introduces students to the formation of international system and relations between modern states since the Westphalia Agreement in 1648 through historical and theoretical frameworks. At the same time, this program examines the international system in the contemporary context that is increasingly complex with the emerging of actors and new challenges. As such, this program gives focuses on issues related to international laws, global economy, modern diplomacy, negotiation and conflict resolution, foreign policy, security and defence, and other contemporary issues. As a whole, this program, prepares students with theoretical and practical knowledge that need to be mastered by international relations’ practitioners like diplomats and international trade delegates.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WA21 - Bachelor Of Social Sciences (Hons) Politics And Government Studies 						",https://www.unimas.my/courses-finder/course/wa21,"Politics and Government Programme offers a holistic and practical approach to the study of political science. As political science is very broad in nature, this programme offers courses which expose the students to a variety of sub-fields in political science. These sub-fields include political economy, public policies, Malaysian politics, comparative politics and governance. ","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WA22 - Bachelor Of Social Sciences (Hons) Development Planning And Management 						",https://www.unimas.my/courses-finder/course/wa22,"Malaysia is currently experiencing rapid socio-economic transformation, particularly focusing its development towards achieving the industrialized nation status by 2020. In this context, the development of human capital with the right skills and disciplines are needed in order to realize this vision. Hence, this programme adopts a multi disciplinary approach and scope which exposes the students to the studies of economy, anthropology, sociology and the physical environment. All these dimensions will be used as a basis to prepare a framework, which will be used as a guide in analyzing current issues in development. This framework can also acts as a guideline in planning and managing a project.

The Development Planning and Management Programme is designed to equip the students with the latest technical skills and knowledge in the field of planning and management. The significant aspects in the curriculum include exposing the students to the use of computers in planning and management activities. This includes introducing the students to the geographic information system application and using other computer applications in planning, implementing and evaluating a project.

The students in the programme will be equipped, not only with the knowledge in the field of planning, and social sciences and humanities, but will also acquire soft skills during the course of their studies. These soft skills are acquired through a number of generic and elective courses that the students need to take on top of their core courses.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WA23 - Bachelor Of Social Sciences (Hons) Social Work Studies from FSSH						",https://www.unimas.my/courses-finder/course/wa23,"Professional social work practice in Malaysia is becoming much more relevant in the last few decades because of rapid urbanization, changes in family structures, diminishing traditional support network and the increasing number of social problems. The main purpose of social work is about the enhancement of human well being and the promotion of social justice and social development. The courses offered by this programme are intended to prepare and equip the students with knowledge on the interaction between human and society, Students learn theories and skills in social work to enable them to play their roles effectively in helping or working with individuals, groups and communities as well as formulating social policies. This programme is broad-based, drawing on knowledge from other social science disciplines and behavioural sciences, such as planning, management, and both communication and interpersonal skills.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WB02 - Bachelor Of Arts In English For Global Communication (With Honours) 						",https://www.unimas.my/courses-finder/course/wb02,"English is a language used for global communication in the fields of international trade and business, research, technology, and industry. The ability to communicate effectively in English enables one to connect with and participate actively in the international community as a global citizen. This programme equips prospective students with the knowledge, competence, and awareness to use English as an important tool of communication in a globalised world.

The Bachelor of Arts in English for Global Communication (with Honours) is a four-year degree programme. The main medium of instruction for this programme is English. Prospective students will be provided with opportunities to apply the knowledge and their ability to use English effectively for various communication needs in local and global settings.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							WB03 - Bachelor Of Arts With Honours (Linguistics)						",https://www.unimas.my/courses-finder/course/wb03,The Bacholer of Arts (Linguistics) with Honors is the first program offered at FLC. The first cohort enrolled on the 2014/2015 session. The sixth intake of students for the 2019/2020 session will undergo their studies with the improvements to the curriculum structure. The courses offered in this programme complement the students' knowledge in Linguistics especially in Borneo languages in Sarawak as well as basic knowledge in the field of literature.,"UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WB18 - Bachelor Of Communication (Hons) (Strategic Communication)						",https://www.unimas.my/courses-finder/course/wb18,"This program aims to produce graduates with analytical, crtitical and practical skills in the field of strategic communication. Concurrently, graduates will be equipped with leadership skills that enable them to become responsible in communicating objectively and creatively. Graduates from this program will be able to optimize the usage of thorough and strategic communication tools for them to adapt their knowledge with the dynamic global environment.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WH00-Bachelor of Science (Hons) Architecture						",https://www.unimas.my/courses-finder/course/wh00,"After graduated from this programme (which is equivalent to LAM Part 1), graduates are eligible to work as an Assisant Architect in architectural firms. Graduates can also opt for taking it further by pursuing Architecture LAM Part 2 programme, which qualifies them to take LAM Part 3 (Professional Architect with an 'Ar.' title) in the future. It is also important to note that having a degree in Architecture also means having a very significant knowledge that transcends across other major disciplines, particularly in the design and construction domains. It is common to see architectural graduates excel in other industries, thanks to the multifaceted nature of the discipline itself","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WH06-Bachelor of Quantity Surveying (Hons) 						",https://www.unimas.my/courses-finder/course/wh06,UNIMAS is the first Public University (UA) in Sarawak offering Bachelor of Quantity Surveying (Honours) programme that meets the accreditation requirements of the Board of Quantity Surveyors Malaysia. This programme is in line with technological advances,"UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							WS47-Bachelor Of Resource Biotechnology						",https://www.unimas.my/courses-finder/course/ws47,"Biotechnology plays a crucial role in the fields of agriculture, food production, livestock breeding, environmental protection and restoration, and resource-based industries in Malaysia. The government has recognised the importance of biotechnology which has been identified as one of the national priority Research & Development (R&D) programme. To meet this objective, Resource Biotechnology students will be trained in the latest technologies such as recombinant DNA technology, cell and tissue culture, genetic engineering and other molecular techniques, which are essential for biotechnology research. Final year students can specialise in one of the following major branches of biotechnology: plant, animal, environmental, marine, and medical. In addition, students will be exposed to various social economic applications relevant to biotechnology industries.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							WS48-Bachelor Of Resource Chemistry 						",https://www.unimas.my/courses-finder/course/ws48,"Chemistry is central to the understanding of basic life processes in living organisms and the physicochemical interactions of non-living elements. It plays an important role in the process of exploiting living and non-living resources for the benefit of mankind. This programme is designed as a central discipline in the study of resource science. Students will be taught various sub-discipline of chemistry with adequate coverage, so graduates will have a broad understanding of the relevance of chemistry. The programme has been designed to equip students with knowledge and expertise needed to undertake an analytical approach in research of natural resources for sustainable exploitation. Such skills will enhance the nation's research capabilities in utilising our rich natural resources","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WS49-Bachelor Of Aquatic Resource Science & Management 						",https://www.unimas.my/courses-finder/course/ws49,"Malaysia is at the centre of the Indo-Pacific region, an area blessed with abundant and diverse aquatic life. Many of these aquatic organisms have yet to be investigated, and their economic potential remain untapped. Aquatic resources are also an important economic source for the local population. However, the rapid pace of development in this country has put stress on these diverse aquatic ecosystems. Aquatic resource science and management programme therefore aims to provide students with a sound understanding of the various aquatic ecosystems and resources so that they may be utilised in a sustainable way for socio-economic and other benefits. The courses offered in the programme are designed for graduates to gain scientific knowledge and expertise to undertake research and development projects, especially on the exploitation and conservation aspects. The programme also emphasises public awareness to the importance of preserving aquatic ecosystems and resources for the benefit of future generations.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WS50-Bachelor Of Plant Resource Science And Management 						",https://www.unimas.my/courses-finder/course/ws50,"Programme Plant Resource Science and Management (Bachelor of Science with Honours (Plant Resource Science and Management) obtained accreditation in 1993. This programme provides a comprehensive knowledge and skill in management needed for sustainable and conservation of plant resources in agriculture, forestry, landscape and biotechnology sectors to ensure sufficient human capital to address the need of the country or elsewhere. These sectors have been identified as an important economic generating revenue towards achieving the Malaysia’s vision of becoming a develop nation. With the current implementation and initiative of the National Economic Key Areas (NKEAs) in which agriculture and plantation sectors are identified as one of the 12 key areas, increase of job opportunity in the broad spectrum in these sectors are inevitable. These opportunities will be of great advantage for students opting to this programme to establish their carrier in the related field of plant science and plantation management.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							WS51-Bachelor Of Science With Honours (Animal Resource Science And Management) 						",https://www.unimas.my/courses-finder/course/ws51,"The native fauna of Malaysia, well known for its uniqueness and diversity, is an important component of the nation’s natural heritage. Knowledge of their composition, distribution and population dynamics as well as in-depth understanding of their habitats and ecology are important prerequisites to develop sustainable management and effective conservation strategies.

Animal Resource Science and Management programme focuses on various important fields of research and knowledge application within zoological studies such as biodiversity and ecology, as well as in the aspect of animal biology, systematics, evolution and nutrition. Students will be trained in the field (to conduct samplings and data collection) and laboratory (via sample processing and analysis) involving various animal classes. In addition, environmental and management related courses are also included in the study plan to enhance future graduates with capability to propose conservation strategies in relation to animal protection and effective biodiversity’s management plan.

Graduates from this programme will have the opportunity to work in government agencies (e.g: Sarawak Forest Department, Department of Wildlife and National Park, Sabah Parks, Ministry of Education), non-governmental organisations (Sarawak Forestry Corporation, Wildlife Conservation Society, World Wide Fund for Nature Malaysia, Malaysian Nature Society), and private sectors (zoo, eco-tourism park, agricultural related companies, etc.).","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WE01 - Bachelor Of Economics (Hons.) Service Economics from FEB						",https://www.unimas.my/courses-finder/course/we01,"UNIMAS has become the first university in this country to offer Service Economics programme that meet the national and international demand for professional workers in the service industry. This is coherent with the national economic transformation, that moving towards a service driven economic country. Students will be equipped with theories and business practices in health, knowledge, transportation, and recreational services. Emphasized will be given on the principles of services economics to preparing them with skills that required in solving economics and services management issues.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
"
							WE02 - Bachelor Of Accountancy (Hons.)						",https://www.unimas.my/courses-finder/course/we02,"Bachelor in Accountancy with Honours aims to produce knowledgeable scholars who are ethical, capable and competent in accounting. 

The graduates can contribute to national development, society, and humanity as a whole. These scholars shall be able to generate enthusiasm in knowledge and also committed to business in general and the accounting profession in particular. They will also acquire leadership qualities and act as a catalyst for change as well as receptive in performing their duties in various sectors and the environment. They are capable to face both the current and future challenges. The program also enables students to major in accounting and become professional accounting practitioners. They will be able to make accounting as an important area for specialization recognized by the professional bodies such as the Malaysian Institute of Accountants (MIA), and also the international professional bodies such as the Association of Chartered Certified Accountants (ACCA) and Chartered Institute of Management Accountants (CIMA).","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							WE03 - Bachelor Of Economics (Hons.) Business Economics						",https://www.unimas.my/courses-finder/course/we03,"Business Economics programme aims to produce graduates who are knowledgeable and competent in economics and able to apply it on business environment. 

Business economics uses economic theory and quantitative methods to analyze business, organizational structures and the relationships of firms with labor, capital and product markets. Emphasis is given to aspects such as managerial economics, financial management, public finance, investment and portfolio management analysis. Graduates will be equipped with analytical skills and ability which enable them to analyze and identify economic environment and business. The courses are designed to expose students to fundamental of economic development, the role of government, market structure, labour market and investment flow analysis.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"3 Year, 6 Semesters",-
